time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV
2019-03-03 10:03:45,1551625425.00,1.90021,90.1277,18.8281
2019-03-03 10:03:45,1551625425.56,1.90021,89.8037,18.8281
2019-03-03 10:03:46,1551625426.56,1.90021,90.0578,20.3398
2019-03-03 10:03:47,1551625427.56,1.90021,89.8641,19.8711
2019-03-03 10:03:48,1551625428.56,1.90021,90.0151,19.5977
2019-03-03 10:03:49,1551625429.56,1.90021,89.8592,19.5977
2019-03-03 10:03:52,1551625432.56,1.90021,90.1498,19.5977
2019-03-03 10:03:53,1551625433.56,1.90021,89.964,19.5977
2019-03-03 10:03:54,1551625434.56,1.90021,90.0928,19.5977
2019-03-03 10:03:55,1551625435.56,1.90021,89.8542,19.5977
2019-03-03 10:03:56,1551625436.56,1.90021,89.9624,19.5977
2019-03-03 10:03:57,1551625437.56,1.90021,89.8305,19.5977
2019-03-03 10:03:59,1551625439.56,1.90021,90.1454,19.5977
2019-03-03 10:04:00,1551625440.56,1.90021,90.269,19.5977
2019-03-03 10:04:01,1551625441.56,1.90021,89.8129,19.5977
2019-03-03 10:04:02,1551625442.56,1.90021,90.1777,19.5977
2019-03-03 10:04:03,1551625443.57,1.90021,90.1777,18.8281
2019-03-03 10:04:04,1551625444.56,1.90021,89.8937,17.6719
2019-03-03 10:04:05,1551625445.56,1.90021,90.3136,17.6719
2019-03-03 10:04:06,1551625446.57,1.90021,89.8439,17.6719
2019-03-03 10:04:10,1551625450.56,1.90021,89.9554,17.6719
2019-03-03 10:04:11,1551625451.56,1.90021,90.1723,17.6719
2019-03-03 10:04:13,1551625453.56,1.90021,89.813,17.6719
2019-03-03 10:04:14,1551625454.56,1.90021,90.2834,17.6719
2019-03-03 10:04:15,1551625455.56,1.90021,90.0253,17.6719
2019-03-03 10:04:16,1551625456.56,1.90021,89.9019,17.6719
2019-03-03 10:04:17,1551625457.56,1.90021,90.1275,17.6719
2019-03-03 10:04:18,1551625458.56,1.90021,89.8989,17.6719
2019-03-03 10:04:20,1551625460.57,1.90021,90.3012,17.6719
2019-03-03 10:04:21,1551625461.56,1.90021,89.8613,17.6719
2019-03-03 10:04:22,1551625462.56,1.90021,90.0515,17.6719
2019-03-03 10:04:23,1551625463.56,1.90021,89.8421,17.6719
2019-03-03 10:04:25,1551625465.56,1.90021,90.3204,17.6719
2019-03-03 10:04:26,1551625466.56,1.90021,90.0838,17.6719
2019-03-03 10:04:27,1551625467.57,1.90021,90.0838,18.2227
2019-03-03 10:04:28,1551625468.56,1.90021,89.8343,18.0039
2019-03-03 10:04:29,1551625469.56,1.90021,90.0575,17.8633
2019-03-03 10:04:31,1551625471.56,1.90021,89.8245,17.8633
2019-03-03 10:04:32,1551625472.56,1.90021,89.9702,17.8633
2019-03-03 10:04:33,1551625473.56,1.90021,89.8443,17.8633
2019-03-03 10:04:34,1551625474.56,1.90021,90.0862,17.8633
2019-03-03 10:04:35,1551625475.56,1.90021,89.8674,17.8633
2019-03-03 10:04:36,1551625476.56,1.90021,90.1827,17.8633
